Date,Open,High,Low,Close,Volume
2020-01-02,6695,6780,6680,6690,49445000
2020-01-03,6750,6800,6725,6800,47755500
2020-01-06,6720,6750,6690,6735,27300000
2020-01-07,6735,6770,6730,6740,45022500
2020-01-08,6670,6745,6670,6680,53692500
2020-01-09,6740,6755,6730,6740,40363500
2020-01-10,6765,6825,6710,6725,73362000
2020-01-13,6740,6760,6735,6745,67855000
2020-01-14,6745,6885,6740,6870,93582000
2020-01-15,6870,7060,6800,6835,75623500
2020-01-16,6805,6890,6795,6850,88931500
2020-01-17,6840,6890,6800,6875,38249500
2020-01-20,6950,6975,6830,6835,93554500
2020-01-21,6885,6895,6825,6830,103984500
2020-01-22,6855,6895,6835,6840,94311500
2020-01-23,6885,6895,6830,6840,87728000
2020-01-24,6820,6880,6810,6810,69653500
2020-01-27,6865,6940,6815,6840,39679000
2020-01-28,6835,6845,6755,6790,82615000
2020-01-29,6800,6845,6770,6785,43821000
2020-01-30,6845,6845,6730,6740,71990000
2020-01-31,6800,6805,6480,6480,163136500
2020-02-03,6480,6585,6370,6440,149797000
2020-02-04,6570,6620,6520,6600,113316500
2020-02-05,6780,6780,6650,6730,123002500
2020-02-06,6740,6780,6680,6740,154693500
2020-02-07,6710,6780,6705,6760,82609000
2020-02-10,6760,6785,6630,6785,66578500
2020-02-11,6785,6785,6745,6780,77526500
2020-02-12,6800,6800,6760,6800,69971500
2020-02-13,6820,6820,6740,6790,49737000
2020-02-14,6780,6795,6675,6680,147028500
2020-02-17,6680,6750,6680,6720,115319000
2020-02-18,6685,6720,6670,6695,98436500
2020-02-19,6665,6760,6665,6695,74594000
2020-02-20,6690,6695,6565,6595,136724500
2020-02-21,6600,6660,6595,6615,98261000
2020-02-24,6565,6600,6510,6525,84910000
2020-02-25,6550,6560,6510,6530,86446500
2020-02-26,6500,6535,6420,6420,92824500
2020-02-27,6470,6475,6200,6290,129254500
2020-02-28,6200,6290,6035,6290,169946500
2020-03-02,6290,6290,6035,6080,144871500
2020-03-03,6200,6350,6200,6320,114663500
2020-03-04,6315,6500,6260,6440,83025000
2020-03-05,6540,6540,6340,6435,77583000
2020-03-06,6350,6350,6200,6200,77835500
2020-03-09,6000,6040,5785,5785,140889500
2020-03-10,5840,6010,5840,5925,133667000
2020-03-11,5950,5980,5790,5850,93204500
2020-03-12,5600,5640,5460,5560,129845500
2020-03-17,5495,5505,5120,5120,212200000
2020-03-18,5120,5380,4765,5000,180053500
2020-03-19,4995,4995,4650,4650,264419000
2020-03-20,4600,5385,4325,4735,335132000
2020-03-23,4760,5000,4405,4430,217843500
2020-03-24,4450,4995,4450,4500,253971000
2020-03-26,4650,5395,4650,5280,331633000
2020-03-27,5360,5895,5355,5510,269683000
2020-03-30,5480,5555,5155,5495,159964500
2020-03-31,5660,5710,5485,5525,182638500
2020-04-01,5560,5750,5425,5480,152831500
2020-04-02,5470,5470,5360,5410,136623500
2020-04-03,5460,5530,5365,5495,110506000
2020-04-06,5520,5740,5495,5735,78184000
2020-04-07,5735,6100,5580,5655,149153500
2020-04-08,5655,5660,5480,5635,106111500
2020-04-09,5600,5695,5500,5595,89997000
2020-04-13,5540,5615,5480,5500,58043000
2020-04-14,5505,5590,5445,5515,95796000
2020-04-15,5515,5630,5445,5485,95342000
2020-04-16,5485,5520,5185,5240,176990500
2020-04-17,5300,5445,5280,5425,160935500
2020-04-20,5430,5500,5330,5355,90744000
2020-04-21,5355,5355,5160,5160,73431000
2020-04-22,5160,5235,5045,5145,107263500
2020-04-23,5180,5245,5120,5120,105419500
2020-04-24,5120,5140,4920,4920,131149500
2020-04-27,4940,5020,4855,4960,151103500
2020-04-28,4960,4975,4805,4830,180488000
2020-04-29,4825,4850,4800,4850,121161000
2020-04-30,4880,5250,4880,5170,174081000
2020-05-04,5150,5300,5000,5220,114497500
2020-05-05,5220,5340,5200,5285,118643500
2020-05-06,5315,5370,5300,5355,86395500
2020-05-08,5345,5400,5150,5245,123028000
2020-05-11,5245,5325,5245,5295,40615500
2020-05-12,5340,5340,5030,5220,118660000
2020-05-13,5160,5170,5085,5110,94973000
2020-05-14,5070,5110,4905,4920,131268000
2020-05-15,4920,4995,4680,4785,205790000
2020-05-18,4800,4845,4750,4765,139997500
2020-05-19,4840,4960,4680,4680,128504500
2020-05-20,4720,4800,4690,4765,119158000
2020-05-26,4775,5000,4775,4970,176076500
2020-05-27,4970,5000,4855,4965,151753500
2020-05-28,5000,5320,5000,5295,229233000
2020-05-29,5295,5295,5190,5190,399414000
2020-06-02,5260,5500,5240,5360,181369500
2020-06-03,5410,5780,5400,5780,279673500
2020-06-04,5780,5990,5600,5790,236158500
2020-06-05,5790,5855,5585,5725,88157500
2020-06-08,5755,5925,5755,5900,173557500
2020-06-09,5940,5995,5795,5805,100110000
2020-06-10,5800,5865,5595,5800,115382500
2020-06-11,5750,5810,5605,5680,85187500
2020-06-12,5680,5680,5480,5670,96044000
2020-06-15,5680,5710,5500,5500,100844500
2020-06-16,5580,5795,5580,5760,91518500
2020-06-17,5800,5800,5680,5720,79800000
2020-06-18,5720,5740,5585,5585,68032000
2020-06-19,5600,5650,5545,5575,110071000
2020-06-22,5595,5660,5530,5540,51590500
2020-06-23,5570,5660,5520,5620,69954000
2020-06-24,5650,5760,5640,5705,57333000
2020-06-25,5700,5745,5640,5725,51415000
2020-06-26,5720,5760,5640,5645,57467500
2020-06-29,5640,5695,5585,5675,48796500
2020-06-30,5700,5740,5660,5695,74474000
2020-07-01,5700,5800,5675,5800,63959000
2020-07-02,5775,5870,5760,5870,75585500
2020-07-03,5870,5905,5840,5870,52219000
2020-07-06,5860,5935,5850,5935,67800000
2020-07-07,5940,5995,5900,5990,74168000
2020-07-08,5990,6265,5980,6200,106444500
2020-07-09,6210,6240,6030,6100,93543500
2020-07-10,6100,6240,6080,6200,67224000
2020-07-13,6230,6240,6140,6175,86006000
2020-07-14,6175,6200,6110,6200,45616500
2020-07-15,6200,6240,6150,6150,61468000
2020-07-16,6150,6200,6140,6180,66520500
2020-07-17,6135,6180,6040,6120,73348000
2020-07-20,6120,6160,6060,6140,59794500
2020-07-21,6100,6235,6100,6200,84159500
2020-07-22,6210,6250,6130,6180,44725500
2020-07-23,6180,6215,6140,6200,84026500
2020-07-24,6200,6200,6100,6100,58366500
2020-07-27,6100,6140,6000,6100,41972500
2020-07-28,6120,6200,6060,6185,65279000
2020-07-29,6185,6185,6100,6135,50262500
2020-07-30,6135,6240,6055,6240,80533500
2020-08-03,6220,6235,5825,6130,137079000
2020-08-04,6155,6220,6130,6210,79357000
2020-08-05,6200,6220,6100,6205,49393000
2020-08-06,6215,6295,6185,6260,55258500
2020-08-07,6265,6285,6160,6180,43621000
2020-08-10,6180,6200,6105,6120,37774500
2020-08-11,6140,6200,6130,6175,38795500
2020-08-12,6175,6260,6160,6260,35612000
2020-08-13,6260,6300,6180,6300,48581000
2020-08-14,6300,6405,6240,6405,57316000
2020-08-18,6405,6425,6300,6360,81563500
2020-08-19,6360,6410,6310,6330,58793500
2020-08-24,6340,6380,6280,6315,66882500
2020-08-25,6320,6380,6305,6365,49211000
2020-08-26,6385,6390,6305,6340,42983000
2020-08-27,6365,6600,6340,6600,68326000
2020-08-28,6560,6600,6425,6495,52292500
2020-08-31,6500,6540,6275,6275,97032000
2020-09-01,6280,6520,6240,6520,67446000
2020-09-02,6520,6560,6365,6435,66065000
2020-09-03,6465,6500,6300,6500,68208500
2020-09-04,6450,6450,6265,6380,80613500
2020-09-07,6335,6360,6200,6285,64249500
2020-09-08,6285,6360,6285,6335,39649000
2020-09-09,6300,6320,6210,6245,49285000
2020-09-10,6220,6220,5810,5810,175735000
2020-09-11,5800,5975,5620,5905,403032500
2020-09-14,6000,6115,5985,6050,138115000
2020-09-15,6040,6100,5860,5860,170087000
