Date,Open,High,Low,Close,Volume,MA5,MA20,MA60,AlexanderFilter,RS,RSI,Money Flow Index,%B,10 days Volatility,30 days Volatility,Chaikin Oscilator,MACD,Accumulation and Distribution Oscillator,%K,William %R
02/01/2020,6695,6780,6680,6690,49445000,,,,,,,,,,,,,0,,
03/01/2020,6750,6800,6725,6800,47755500,,,,,,,,,,,,,47755500,,
06/01/2020,6720,6750,6690,6735,27300000,,,,,,,,,,,,,61405500,,
07/01/2020,6735,6770,6730,6740,45022500,,,,,,,,,,,,,38894250,,
08/01/2020,6670,6745,6670,6680,53692500,6729,,,,,,,,,,,,-480250,,
09/01/2020,6740,6755,6730,6740,40363500,6739,,,,,,,,,,,,-8552950,,
10/01/2020,6765,6825,6710,6725,73362000,6724,,,,,,,,,,,,-62777036.96,,
13/01/2020,6740,6760,6735,6745,67855000,6726,,,,,,,,,,,,-76348036.96,,
14/01/2020,6745,6885,6740,6870,93582000,6752,,,,,,,,,,,,-2127830.06,,
15/01/2020,6870,7060,6800,6835,75623500,6783,,,,,,,,57.74080013,,-39326806.9,,-57391156.98,,
16/01/2020,6805,6890,6795,6850,88931500,6805,,,,,,,,59.38013136,,-23992307.53,,-43349341.19,,
17/01/2020,6840,6890,6800,6875,38249500,6835,,,,,,,,66.72518265,,-22672404.9,,-17849674.53,,
20/01/2020,6950,6975,6830,6835,93554500,6853,,,2.167414051,,,,,66.80007485,,-21890301.92,,-104952140,,
21/01/2020,6885,6895,6825,6830,103984500,6845,,,0.441176471,,,,,65.57629145,,-48836829.2,,-194081711.5,41.02564103,0.58974359
22/01/2020,6855,6895,6835,6840,94311500,6846,,,1.559020045,1.681818182,62.71186441,63.88940444,,53.03065151,,-106559042.6,,-272674628.1,43.58974359,0.564102564
23/01/2020,6885,6895,6830,6840,87728000,6844,,,1.483679525,1.181818182,54.16666667,56.42028005,,47.14074671,,-150225817,,-333409397.4,43.58974359,0.564102564
24/01/2020,6820,6880,6810,6810,69653500,6831,,,1.946107784,1.405405405,58.42696629,54.06395618,,34.36568055,,-185857626.2,,-403062897.4,35.8974359,0.641025641
27/01/2020,6865,6940,6815,6840,39679000,6832,,,1.483679525,1.540540541,60.63829787,53.85728556,,17.92344833,,-202203956.6,,-426870297.4,43.58974359,0.564102564
28/01/2020,6835,6845,6755,6790,82615000,6824,,,0.966542751,1.628571429,61.95652174,52.3412872,,21.38340478,,-195167083.9,,-445229186.3,22.85714286,0.771428571
29/01/2020,6800,6845,6770,6785,43821000,6813,6792.75,,0.593031876,1.25,55.55555556,52.51256932,0.46655597,26.02402736,,-176573650.6,,-471521786.3,21.42857143,0.785714286
30/01/2020,6845,6845,6730,6740,71990000,6793,6795.25,,-1.892285298,1.071428571,51.72413793,45.67905302,0.246172111,36.26637561,,-162516569.1,,-530991786.3,3.03030303,0.96969697
31/01/2020,6800,6805,6480,6480,163136500,6727,6779.25,,-5.193855157,0.436170213,30.37037037,42.06851357,-0.354055832,104.3743263,,-177855074.6,,-694128286.3,0,1
03/02/2020,6480,6585,6370,6440,149797000,6647,6764.5,,-5.98540146,0.156862745,13.55932203,32.50786885,-0.208461247,143.2209831,,-205332405.7,,-746383053.7,10.14492754,0.898550725
04/02/2020,6570,6620,6520,6600,113316500,6609,6757.5,,-4,0.505263158,33.56643357,34.31602754,0.171718231,145.2936681,,-206035050.6,,-678393153.7,38.01652893,0.619834711
05/02/2020,6780,6780,6650,6730,123002500,6598,6760,,-1.53621068,0.747368421,42.77108434,43.08162825,0.436877765,139.5788308,,-153594942.3,,-650007961.4,59.50413223,0.404958678
06/02/2020,6740,6780,6680,6740,154693500,6598,6760,,-1.317715959,0.715789474,41.71779141,47.82303285,0.45791851,133.0122175,,-82591025.17,-33.68589744,-619069261.4,61.15702479,0.388429752
07/02/2020,6710,6780,6705,6760,82609000,6654,6761.75,,-1.169590643,0.827586207,45.28301887,47.33796062,0.496309454,129.5077218,,-32220555.77,-43.04487179,-580518394.7,68.42105263,0.315789474
10/02/2020,6760,6785,6630,6785,66578500,6723,6763.75,,-0.804093567,0.895348837,47.2392638,48.72557942,0.544799431,124.0967365,,21842426.19,-47.05128205,-513939894.7,72.80701754,0.271929825
11/02/2020,6785,6785,6745,6780,77526500,6759,6759.25,,-0.440528634,0.862068966,46.2962963,48.02258822,0.544662298,123.2842245,,77323756.75,-51.28205128,-455795019.7,71.92982456,0.280701754
12/02/2020,6800,6800,6760,6800,69971500,6773,6757.5,,-0.584795322,0.908045977,47.59036145,54.13848673,0.592186769,124.5883221,99.83820244,133652221.8,-56.92307692,-385823519.7,75.43859649,0.245614035
13/02/2020,6820,6820,6740,6790,49737000,6783,6754.5,,0,0.951807229,48.7654321,55.00893739,0.578140775,127.6410984,99.21301438,164742178.4,-61.15384615,-373389269.7,73.68421053,0.263157895
14/02/2020,6780,6795,6675,6680,147028500,6767,6744.75,,-1.547531319,0.695238095,41.01123596,47.87631772,0.354374464,107.1085898,99.94943166,128689097.6,-67.59615385,-508165394.7,65.26315789,0.347368421
17/02/2020,6680,6750,6680,6720,115319000,6754,6739,,-0.296735905,0.852631579,46.02272727,50.9406145,0.456541647,58.13991744,100.0923185,67930673.4,-69.07051282,-491691251.9,73.68421053,0.263157895
18/02/2020,6685,6720,6670,6695,98436500,6737,6732.25,,3.317901235,0.818181818,45,45.66467178,0.413474749,39.50949253,100.6539727,9826489.167,-49.23076923,-491691251.9,68.42105263,0.315789474
19/02/2020,6665,6760,6665,6695,74594000,6716,6725,,3.959627329,0.9,47.36842105,51.07028615,0.428555226,42.39398542,100.3201819,-6926267.5,-21.25,-519173251.9,72.22222222,0.277777778
20/02/2020,6690,6695,6565,6595,136724500,6677,6712.75,,-0.075757576,1.396551724,58.27338129,52.03691815,0.220006897,61.80614856,104.3312034,-43254741.53,-12.43589744,-592794136.5,50,0.5
21/02/2020,6600,6660,6595,6615,98261000,6664,6703,,-1.708766716,1.7,62.96296296,61.46149371,0.289889348,69.58627738,107.0430858,-84546423.76,-12.98076923,-630586828.8,31.66666667,0.683333333
24/02/2020,6565,6600,6510,6525,84910000,6625,6687.25,,-3.189910979,0.779411765,43.80165289,54.03571127,0.119449015,85.51169511,114.1811426,-123227811.6,-17.43589744,-687193495.5,4.838709677,0.951612903
